"CUADRO 1 - Defunciones por área donde ocurrió la defunción y sexo, según grupos de edad, total nacional",columna,columna_1,columna_2,columna_3,columna_4,columna_5,columna_6,columna_7,columna_8,columna_9,columna_10,columna_11,columna_12,columna_13,columna_14,columna_15,año,tipo,hoja_origen
Año 2023,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro1
GRUPOS DE EDAD,Total,Total,,,Cabecera municipal,,,Centro poblado,,,Rural disperso,,,Sin información,,,2023,defunciones,Cuadro1
,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2023,defunciones,Cuadro1
Total Nacional,268411,147544,120827,40,128503,111251,27,4137,2510,0,13478,6150,10,1426,916,3,2023,defunciones,Cuadro1
Menor 1 hora,262,151,108,3,144,101,3,3,3,0,4,4,0,0,0,0,2023,defunciones,Cuadro1
De 1 a 23 horas,534,310,223,1,302,217,1,3,1,0,5,5,0,0,0,0,2023,defunciones,Cuadro1
De 1 a 6 días,1452,837,613,2,824,599,1,1,3,0,7,2,1,5,9,0,2023,defunciones,Cuadro1
De 7 a 27 días,1213,672,540,1,655,525,1,2,3,0,12,8,0,3,4,0,2023,defunciones,Cuadro1
De 28 a 29 días,54,33,21,0,31,21,0,0,0,0,2,0,0,0,0,0,2023,defunciones,Cuadro1
De 1 a 5 meses,1436,844,592,0,766,548,0,14,13,0,57,29,0,7,2,0,2023,defunciones,Cuadro1
De 6 a 11 meses,659,380,279,0,335,258,0,9,4,0,28,10,0,8,7,0,2023,defunciones,Cuadro1
De 1 año,664,373,291,0,296,236,0,14,12,0,51,33,0,12,10,0,2023,defunciones,Cuadro1
De 2 a 4 años,782,438,344,0,367,296,0,13,8,0,51,28,0,7,12,0,2023,defunciones,Cuadro1
De 5 a 9 años,813,448,365,0,380,321,0,11,7,0,47,31,0,10,6,0,2023,defunciones,Cuadro1
De 10 a 14 años,1176,660,516,0,554,444,0,17,11,0,82,53,0,7,8,0,2023,defunciones,Cuadro1
De 15 a 19 años,3713,2826,886,1,2131,734,1,107,27,0,555,115,0,33,10,0,2023,defunciones,Cuadro1
De 20 a 24 años,6231,5082,1149,0,3864,970,0,212,30,0,931,130,0,75,19,0,2023,defunciones,Cuadro1
De 25 a 29 años,6694,5426,1268,0,4163,1090,0,247,39,0,943,126,0,73,13,0,2023,defunciones,Cuadro1
De 30 a 34 años,6519,5019,1499,1,3926,1328,1,201,38,0,848,125,0,44,8,0,2023,defunciones,Cuadro1
De 35 a 39 años,6225,4405,1820,0,3495,1631,0,142,42,0,722,129,0,46,18,0,2023,defunciones,Cuadro1
De 40 a 44 años,6968,4492,2475,1,3681,2270,0,135,45,0,634,139,1,42,21,0,2023,defunciones,Cuadro1
De 45 a 49 años,7424,4510,2913,1,3738,2708,1,154,52,0,578,141,0,40,12,0,2023,defunciones,Cuadro1
De 50 a 54 años,9520,5610,3903,7,4810,3669,3,151,57,0,605,154,2,44,23,2,2023,defunciones,Cuadro1
De 55 a 59 años,13198,7617,5581,0,6714,5259,0,181,74,0,665,228,0,57,20,0,2023,defunciones,Cuadro1
De 60 a 64 años,17618,10348,7267,3,9330,6855,2,224,124,0,746,257,0,48,31,1,2023,defunciones,Cuadro1
De 65 a 69 años,21991,12756,9235,0,11580,8716,0,279,154,0,822,333,0,75,32,0,2023,defunciones,Cuadro1
De 70 a 74 años,26138,15068,11066,4,13617,10332,3,349,205,0,993,465,1,109,64,0,2023,defunciones,Cuadro1
De 75 a 79 años,29130,15878,13252,0,14350,12345,0,407,247,0,1016,574,0,105,86,0,2023,defunciones,Cuadro1
De 80 a 84 años,32491,16396,16091,4,14720,14813,3,443,330,0,1072,843,1,161,105,0,2023,defunciones,Cuadro1
De 85 a 89 años,31034,13977,17056,1,12461,15577,1,398,412,0,991,942,0,127,125,0,2023,defunciones,Cuadro1
De 90 a 94 años,22424,8877,13546,1,7845,12309,1,280,346,0,671,774,0,81,117,0,2023,defunciones,Cuadro1
De 95 a 99 años,9400,3277,6123,0,2834,5541,0,116,168,0,284,360,0,43,54,0,2023,defunciones,Cuadro1
De 100 años y más,2400,672,1727,1,587,1538,0,24,55,0,54,112,1,7,22,0,2023,defunciones,Cuadro1
Edad desconocida,248,162,78,8,3,0,5,0,0,0,2,0,3,157,78,0,2023,defunciones,Cuadro1
Fecha de actualización: 19 de diciembre de 2024,,,,,,,,,,,,,,,,,2023,defunciones,Cuadro1
